copyright	zengfr	site:http://github.com/zengfr/romhack
000003	[66]
00B8F0	[4860]
00B8FE	[B]
00B900	[B452]
00B906	[B]
00B908	[FE52]
00B90A	[B]
00B90C	[B3B2]
00B90E	[B]
00B910	[FE92]
00B916	[B]
00B918	[FEB2]
00B9F2	[11BC]
00B9F4	[1310]
00CBBA	[A0]
00CBBC	[CC]
00FC2E	[A]
00FC30	[CD8E]
00FC4E	[A]
00FC50	[DBF2]
00FD46	[0]
00FD48	[483C]
00FD4A	[0]
00FD4C	[4860]
00FD52	[0]
00FD54	[4818]
00FD68	[0]
00FD6A	[FD8E]
0102A6	[0]
0102A7	[0]
0102A8	[1]
0102A9	[0]
0102AA	[0]
0102AB	[0]
0102AC	[2]
0102AD	[0]
0102B2	[0]
0102B3	[0]
0102B4	[4]
0102B5	[0]
0102B6	[0]
0102B8	[500]
0102CA	[0]
0102CC	[1000]
0102CE	[0]
0102D0	[2000]
0102D2	[0]
0102D4	[3000]
0102DA	[0]
0102DC	[5000]
01033E	[120]
010340	[220]
0106E2	[24]
0106E4	[24]
0106E6	[24]
0106F2	[1]
0106F4	[2]
0106F6	[0]
0106F8	[1]
0106FA	[0]
0106FC	[0]
010820	[10]
010822	[14]
010824	[24]
010826	[24]
010828	[24]
01089E	[10]
0108A2	[5A]
0109B2	[10]
0109B6	[10]
0109BC	[19C]
010B68	[4]
010B6A	[4CA]
010BA0	[4]
010BA2	[4CA]
010D16	[10]
010D18	[10]
010D1A	[14]
010D1C	[14]
010E34	[10]
010E36	[10]
010E38	[10]
010E3A	[10]
010FF2	[10]
010FFA	[14]
0111BE	[FF]
0111C0	[B3F4]
0111C2	[FF]
0111C4	[B574]
0115FE	[10]
011602	[14]
011606	[10]
01163E	[14]
011640	[14]
011642	[14]
0119A8	[10]
0119AA	[10]
0119AC	[12]
0119AE	[12]
0119B0	[10]
0119F4	[12]
011AC6	[10]
011AC8	[10]
011ACA	[12]
011ACC	[12]
011ACE	[12]
01206A	[10]
01206E	[12]
012072	[10]
01213E	[12]
01290E	[8]
012C30	[115C]
012C40	[20]
01313E	[1]
013140	[315E]
013142	[1]
013144	[31E4]
013156	[1]
013158	[350E]
013168	[1]
01316A	[3178]
01316C	[1]
01316E	[3192]
013170	[1]
013172	[31AA]
013174	[1]
013176	[31C6]
0131F6	[1]
0131F8	[3264]
0131FA	[1]
0131FC	[3298]
013520	[1]
013522	[3528]
013524	[1]
013526	[3572]
0136A6	[50]
0136A8	[50]
0136AA	[50]
01370C	[0]
01372C	[0]
01372E	[4]
013736	[0]
01373B	[0]
01374C	[0]
01374E	[C]
013756	[0]
01375B	[8]
01375C	[0]
01375E	[0]
013766	[1]
01376B	[0]
01376C	[0]
01376E	[4]
013776	[1]
01377B	[0]
01377C	[0]
01377E	[8]
013786	[1]
01378B	[8]
01378C	[0]
01378E	[C]
013796	[1]
01379B	[8]
01379C	[4]
01379E	[C]
0137A0	[0]
0137A2	[0]
0137A4	[0]
0137AB	[4]
0137AC	[4]
0137AE	[8]
0137B0	[1]
0137B2	[0]
0137B4	[0]
0137BB	[4]
0137DC	[18]
0137DE	[8]
0137E0	[0]
0137E2	[1]
0137E4	[0]
0137EB	[4]
0137EC	[18]
0137EE	[8]
0137F0	[0]
0137F2	[1]
0137F4	[8]
0137FB	[4]
013A0C	[18]
013A0E	[C]
013A10	[0]
013A12	[1]
013A14	[0]
013A1B	[4]
013A1C	[18]
013A1E	[C]
013A20	[0]
013A22	[1]
013A24	[8]
013A2B	[4]
013B0C	[80]
013B0E	[40]
013B4E	[0]
013B51	[0]
013B52	[0]
013B54	[0]
013B55	[0]
013B56	[0]
013B8E	[0]
013B90	[0]
013B92	[1]
013B93	[0]
013B94	[1]
013B99	[0]
013B9A	[0]
013BBC	[1]
013BBD	[1]
013D8C	[6]
013D8E	[6]
013D92	[0]
013D96	[7FFF]
013D99	[0]
013D9A	[0]
013D9C	[0]
013DA0	[7FFF]
014F98	[1]
014F9A	[4FC2]
014F9C	[1]
014F9E	[4FC2]
014FA0	[1]
014FA2	[4FCC]
014FA4	[1]
014FA6	[4FC2]
014FA8	[1]
014FAA	[4FCC]
014FAC	[1]
014FAE	[4FB8]
014FB0	[1]
014FB2	[4FC2]
014FB8	[0]
014FBA	[1]
014FBC	[0]
014FBE	[FFF8]
014FC0	[45BC]
014FC2	[0]
014FC4	[3]
014FC6	[200]
014FC8	[FFE8]
014FCA	[1FFD]
014FCC	[3]
014FCE	[4]
014FD0	[0]
014FD2	[FFE0]
014FD4	[1FFD]
014FD6	[0]
014FD8	[FFF0]
014FDA	[1FFE]
014FDC	[0]
014FDE	[0]
014FE0	[1FFE]
014FE2	[0]
014FE4	[10]
014FE6	[1FFF]
0150A4	[4320]
0150A6	[5020]
0150A8	[5359]
0150AA	[5320]
0150AC	[5445]
0150AE	[4D20]
0150B0	[4441]
0150B2	[2E20]
0150B4	[594B]
0150B6	[4920]
0150B8	[5445]
0150BA	[5A20]
0150BC	[434B]
0150BE	[5920]
0150C0	[444E]
0150C2	[4120]
0150C4	[4A52]
0150C6	[4120]
0150C8	[534F]
0150CA	[4D20]
0150CC	[4341]
0150CE	[5020]
0150D0	[434F]
0150D2	[4D20]
0150D4	[4320]
0150D6	[5020]
0150D8	[5359]
0150DA	[5320]
0150DC	[5445]
0150DE	[4D20]
0150E0	[4341]
0150E2	[5020]
0150E4	[434F]
0150E6	[4D20]
0150E8	[4320]
0150EA	[5020]
0150EC	[5359]
0150EE	[5320]
0150F0	[5445]
0150F2	[4D20]
0150F4	[4341]
0150F6	[5020]
0150F8	[434F]
0150FA	[4D20]
0150FC	[4320]
0150FE	[5020]
015100	[5359]
015102	[5320]
015104	[5445]
015106	[4D20]
015108	[4341]
01510A	[5020]
01510C	[434F]
01510E	[4D20]
015110	[4320]
015112	[5020]
015114	[5359]
015116	[5320]
015118	[5445]
01511A	[4D20]
01511C	[4341]
01511E	[5020]
015120	[434F]
015122	[4D20]
015124	[4320]
015126	[5020]
015128	[5359]
01512A	[5320]
01512C	[5445]
01512E	[4D20]
015130	[4341]
015132	[5020]
015134	[434F]
015136	[4D20]
015138	[4320]
01513A	[5020]
01513C	[5359]
01513E	[5320]
015140	[5445]
015142	[4D20]
015144	[4341]
015146	[5020]
015148	[434F]
01514A	[4D20]
01514C	[4320]
01514E	[5020]
015150	[5359]
015152	[5320]
015154	[5445]
015156	[4D20]
015158	[4341]
01515A	[5020]
01515C	[434F]
01515E	[4D20]
015160	[4320]
015162	[5020]
015164	[5359]
015166	[5320]
015168	[5445]
01516A	[4D20]
0159FE	[54]
0159FF	[48]
015A98	[FF]
015A9A	[B3F4]
015A9C	[FF]
015A9E	[B574]
015AA0	[FF]
015AA2	[B274]
015AA4	[FF]
015AA6	[B574]
015AA8	[FF]
015AAA	[B274]
015AAC	[FF]
015AAE	[B3F4]
015ACE	[90]
015AD0	[A60C]
015AD2	[90]
015AD4	[AE0C]
015AD6	[90]
015AD8	[B60C]
01632A	[90]
01632C	[A008]
01632E	[90]
016330	[A808]
016332	[90]
016334	[B008]
0163D4	[860]
0163D6	[866]
0163D8	[863]
0163DC	[190]
0163DE	[192]
0163E0	[191]
01641E	[8]
016420	[F]
016422	[18]
016426	[4A]
016427	[41]
016428	[43]
016429	[4B]
01642A	[2E]
01642B	[54]
01642C	[40]
01642D	[4D]
01642E	[55]
01642F	[53]
016430	[54]
016431	[41]
016432	[50]
016433	[48]
016434	[41]
016435	[40]
016436	[48]
016437	[41]
016438	[4E]
016439	[4E]
01643A	[41]
01643B	[48]
01643C	[2E]
01643D	[44]
01643E	[40]
016522	[90A]
016524	[909]
016526	[908]
01652A	[906]
01652E	[904]
016A78	[3A]
016A7A	[6E]
016B48	[6]
016B4A	[3A]
016B4C	[6E]
017436	[CD5]
017438	[CE5]
01743A	[CD6]
01743C	[CE6]
01743E	[CD7]
