copyright	zengfr	site:http://github.com/zengfr/romhack
	
   26650;1C78;8000;       A;   0;FFFF93B4; 1; 0; 2; 8; 0; 0;   0;   0;   26650;   2A358;   265F4;	
   268E2;1984;8000;       A;   0;FFFF98F4; 1; 0; 2; 8; 0; 0;   0;   2;   26A26;   28B82;   268BC;	
   268EC;1988;8000;       A;   0;FFFF9234; 1; 1; 2; 8; 0; 0;   0;   2;   268E2;       0;   268BC;	
   268EC;1988;8000;       A;   0;FFFF9234; 1; 1; 2; 8; 0; 0;   0;   2;   268EC;       0;   268BC;	
   268EC;1988;8000;       A;   0;FFFF9774; 1; 0; 2; 8; 0; 0;   0;   2;   268E2;   2A216;   268BC;	
   268EC;1988;8000;       A;   0;FFFF9774; 1; 0; 2; 8; 0; 0;   0;   2;   268EC;   2A216;   268BC;	
   268EC;1988;8000;       A;   0;FFFF9774; 1; 0; 2; 8; 0; 0;   0;   2;   268F6;   2A216;   268BC;	
   268EC;1988;8000;       A;   0;FFFF98F4; 1; 0; 2; 8; 0; 0;   0;   2;   268E2;   28B82;   268BC;	
   268EC;1988;8000;       A;   0;FFFF98F4; 1; 0; 2; 8; 0; 0;   0;   2;   268EC;   28B82;   268BC;	
   268EC;1988;8000;       A;   0;FFFF98F4; 1; 0; 2; 8; 0; 0;   0;   2;   268F6;   28B82;   268BC;	
   268EC;1988;8000;       A;   0;FFFF98F4; 1; 0; 2; 8; 0; 0;   0;   2;   26914;   28B82;   268BC;	
   268F6;198C;8000;       A;   0;FFFF92F4; 1; 0; 2; 8; 0; 0;   0;   2;   268E2;       0;   268BC;	
   268F6;198C;8000;       A;   0;FFFF92F4; 1; 0; 2; 8; 0; 0;   0;   2;   268F6;       0;   268BC;	
   268F6;198C;8000;       A;   0;FFFF9774; 1; 0; 2; 8; 0; 0;   0;   2;   268E2;   2A216;   268BC;	
   268F6;198C;8000;       A;   0;FFFF9774; 1; 0; 2; 8; 0; 0;   0;   2;   268EC;   2A216;   268BC;	
   268F6;198C;8000;       A;   0;FFFF9774; 1; 0; 2; 8; 0; 0;   0;   2;   268F6;   2A216;   268BC;	
   268F6;198C;8000;       A;   0;FFFF9774; 1; 0; 2; 8; 0; 0;   0;   2;   26964;   2A216;   268BC;	
   268F6;198C;8000;       A;   0;FFFF9774; 1; 0; 2; 8; 0; 0;   0;   2;   2696E;   2A216;   268BC;	
   268F6;198C;8000;       A;   0;FFFF98F4; 1; 0; 2; 8; 0; 0;   0;   2;   268E2;   28B82;   268BC;	
   268F6;198C;8000;       A;   0;FFFF98F4; 1; 0; 2; 8; 0; 0;   0;   2;   268EC;   28B82;   268BC;	
   268F6;198C;8000;       A;   0;FFFF98F4; 1; 0; 2; 8; 0; 0;   0;   2;   268F6;   28B82;   268BC;	
   268F6;198C;8000;       A;   0;FFFF98F4; 1; 0; 2; 8; 0; 0;   0;   2;   2696E;   28B82;   268BC;	
   2690A;1994;8000;       A;   0;FFFF9234; 1; 1; 2; 8; 0; 0;   0;   2;   2690A;       0;   268BC;	
   2690A;1994;8000;       A;   0;FFFF9234; 1; 1; 2; 8; 0; 0;   0;   2;   2695A;       0;   268BC;	
   2690A;1994;8000;       A;   0;FFFF9234; 1; 1; 2; 8; 0; 0;   0;   2;   26964;       0;   268BC;	
   26914;1998;8000;       A;   0;FFFF98F4; 1; 0; 2; 8; 0; 0;   0;   2;   268F6;   28B82;   268BC;	
   26914;1998;8000;       A;   0;FFFF98F4; 1; 0; 2; 8; 0; 0;   0;   2;   26914;   28B82;   268BC;	
   26928;19A0;8000;       A;   0;FFFF92F4; 1; 0; 2; 8; 0; 0;   0;   2;   26A26;       0;   268BC;	
   2695A;2ED0;8000;       A;   0;FFFF9234; 1; 1; 2; 8; 0; 0;   0;   2;   268EC;       0;   268BC;	
   2695A;2ED0;8000;       A;   0;FFFF9234; 1; 1; 2; 8; 0; 0;   0;   2;   2690A;       0;   268BC;	
   2695A;2ED0;8000;       A;   0;FFFF9234; 1; 1; 2; 8; 0; 0;   0;   2;   2695A;       0;   268BC;	
   2695A;2ED0;8000;       A;   0;FFFF9234; 1; 1; 2; 8; 0; 0;   0;   2;   2696E;       0;   268BC;	
   2695A;2ED0;8000;       A;   0;FFFF9234; 1; 1; 2; 8; 0; 0;   0;   2;   26A26;       0;   268BC;	
   26964;2ED4;8000;       A;   0;FFFF9234; 1; 1; 2; 8; 0; 0;   0;   2;   2695A;       0;   268BC;	
   26964;2ED4;8000;       A;   0;FFFF9234; 1; 1; 2; 8; 0; 0;   0;   2;   26964;       0;   268BC;	
   26964;2ED4;8000;       A;   0;FFFF92F4; 1; 0; 2; 8; 0; 0;   0;   2;   268F6;       0;   268BC;	
   26964;2ED4;8000;       A;   0;FFFF92F4; 1; 0; 2; 8; 0; 0;   0;   2;   26964;       0;   268BC;	
   26964;2ED4;8000;       A;   0;FFFF92F4; 1; 0; 2; 8; 0; 0;   0;   2;   26A26;       0;   268BC;	
   26964;2ED4;8000;       A;   0;FFFF9774; 1; 0; 2; 8; 0; 0;   0;   2;   268E2;   2A216;   268BC;	
   26964;2ED4;8000;       A;   0;FFFF9774; 1; 0; 2; 8; 0; 0;   0;   2;   268F6;   2A216;   268BC;	
   26964;2ED4;8000;       A;   0;FFFF9774; 1; 0; 2; 8; 0; 0;   0;   2;   26964;   2A216;   268BC;	
   26964;2ED4;8000;       A;   0;FFFF9774; 1; 0; 2; 8; 0; 0;   0;   2;   2696E;   2A216;   268BC;	
   26964;2ED4;8000;       A;   0;FFFF9774; 1; 0; 2; 8; 0; 0;   0;   2;   26A26;   2A216;   268BC;	
   26964;2ED4;8000;       A;   0;FFFF98F4; 1; 0; 2; 8; 0; 0;   0;   2;   268E2;   28B82;   268BC;	
   26964;2ED4;8000;       A;   0;FFFF98F4; 1; 0; 2; 8; 0; 0;   0;   2;   268EC;   28B82;   268BC;	
   26964;2ED4;8000;       A;   0;FFFF98F4; 1; 0; 2; 8; 0; 0;   0;   2;   268F6;   28B82;   268BC;	
   26964;2ED4;8000;       A;   0;FFFF98F4; 1; 0; 2; 8; 0; 0;   0;   2;   26964;   28B82;   268BC;	
   26964;2ED4;8000;       A;   0;FFFF98F4; 1; 0; 2; 8; 0; 0;   0;   2;   2696E;   28B82;   268BC;	
   2696E;2ED8;8000;       A;   0;FFFF9234; 1; 1; 2; 8; 0; 0;   0;   2;   2695A;       0;   268BC;	
   2696E;2ED8;8000;       A;   0;FFFF9234; 1; 1; 2; 8; 0; 0;   0;   2;   2696E;       0;   268BC;	
   2696E;2ED8;8000;       A;   0;FFFF9234; 1; 1; 2; 8; 0; 0;   0;   2;   26978;       0;   268BC;	
   2696E;2ED8;8000;       A;   0;FFFF92F4; 1; 0; 2; 8; 0; 0;   0;   2;   26964;       0;   268BC;	
   2696E;2ED8;8000;       A;   0;FFFF92F4; 1; 0; 2; 8; 0; 0;   0;   2;   2696E;       0;   268BC;	
   2696E;2ED8;8000;       A;   0;FFFF9774; 1; 0; 2; 8; 0; 0;   0;   2;   268EC;   2A216;   268BC;	
   2696E;2ED8;8000;       A;   0;FFFF9774; 1; 0; 2; 8; 0; 0;   0;   2;   26964;   2A216;   268BC;	
   2696E;2ED8;8000;       A;   0;FFFF9774; 1; 0; 2; 8; 0; 0;   0;   2;   2696E;   2A216;   268BC;	
   2696E;2ED8;8000;       A;   0;FFFF98F4; 1; 0; 2; 8; 0; 0;   0;   2;   26964;   28B82;   268BC;	
   2696E;2ED8;8000;       A;   0;FFFF98F4; 1; 0; 2; 8; 0; 0;   0;   2;   2696E;   28B82;   268BC;	
   2696E;2ED8;8000;       A;   0;FFFF98F4; 1; 0; 2; 8; 0; 0;   0;   2;   26978;   28B82;   268BC;	
   26978;2EDC;8000;      8A;   0;FFFF9234; 1; 1; 2; 8; 0; 0;   0;   2;   268E2;       0;   268BC;	
   26978;2EDC;8000;      8A;   0;FFFF9234; 1; 1; 2; 8; 0; 0;   0;   2;   2696E;       0;   268BC;	
   26978;2EDC;8000;      8A;   0;FFFF9234; 1; 1; 2; 8; 0; 0;   0;   2;   26978;       0;   268BC;	
   26978;2EDC;8000;      8A;   0;FFFF98F4; 1; 0; 2; 8; 0; 0;   0;   2;   2696E;   28B82;   268BC;	
   26978;2EDC;8000;      8A;   0;FFFF98F4; 1; 0; 2; 8; 0; 0;   0;   2;   26978;   28B82;   268BC;	
   26984;1964;8000;     401;  AE;FFFF9234; 1; 0; 0; 0; 2; 0;   0;   2;   26A26;       0;   268BC;	
   26984;1964;8000;     401;  AE;FFFF9234; 1; 0; 0; 2; 2; 0;   0;   2;   26984;       0;   268BC;	
   26984;1964;8000;     401;  AE;FFFF9234; 1; 1; 2; C; 0; 0;   0;   2;   2695A;       0;   268BC;	
   26984;1964;8000;     401;  AE;FFFF9234; 1; 1; 2; C; 2; 0;   0;   2;   26984;       0;   268BC;	
   26984;1964;8000;     401;  AE;FFFF92F4; 1; 0; 0; 0; 2; 0;   0;   2;   26A26;       0;   268BC;	
   26984;1964;8000;     401;  AE;FFFF92F4; 1; 0; 0; 2; 2; 0;   0;   2;   26984;       0;   268BC;	
   26984;1964;8000;     401;  AE;FFFF92F4; 1; 0; 2; 8; 0; 0;   0;   2;   26928;       0;   268BC;	
   26984;1964;8000;     401;  AE;FFFF92F4; 1; 0; 2; C; 0; 0;   0;   2;   268F6;       0;   268BC;	
   26984;1964;8000;     401;  AE;FFFF92F4; 1; 0; 2; C; 2; 0;   0;   2;   26984;       0;   268BC;	
   26984;1964;8000;     401;  AE;FFFF92F4; 2; 0; 2;10; 0; 0;   0;   2;   26984;       0;   268BC;	
   26984;1964;8000;     401;  AE;FFFF9474; 1; 0; 0; 0; 2; 0;   0;   2;   26A26;       0;   268BC;	
   26984;1964;8000;     401;  AE;FFFF9474; 1; 0; 0; 2; 2; 0;   0;   2;   26984;       0;   268BC;	
   26984;1964;8000;     401;  AE;FFFF95F4; 1; 0; 0; 0; 2; 0;   0;   2;   26A26;       0;   268BC;	
   26984;1964;8000;     401;  AE;FFFF95F4; 1; 0; 0; 2; 2; 0;   0;   2;   26984;       0;   268BC;	
   26984;1964;8000;     401;  AE;FFFF9774; 1; 0; 0; 0; 2; 0;   0;   2;   26A26;   2A216;   268BC;	
   26984;1964;8000;     401;  AE;FFFF9774; 1; 0; 0; 2; 2; 0;   0;   2;   26984;   2A216;   268BC;	
   26984;1964;8000;     401;  AE;FFFF9774; 1; 0; 2; C; 0; 0;   0;   2;   26964;   2A216;   268BC;	
   26984;1964;8000;     401;  AE;FFFF9774; 1; 0; 2; C; 2; 0;   0;   2;   26984;   2A216;   268BC;	
   26984;1964;8000;     401;  AE;FFFF98F4; 1; 0; 0; 0; 2; 0;   0;   2;   26A26;   28B82;   268BC;	
   26984;1964;8000;     401;  AE;FFFF98F4; 1; 0; 0; 2; 2; 0;   0;   2;   26984;   28B82;   268BC;	
   26984;1964;8000;     401;  AE;FFFF98F4; 1; 0; 2; C; 0; 0;   0;   2;   268F6;   28B82;   268BC;	
   26984;1964;8000;     401;  AE;FFFF98F4; 1; 0; 2; C; 2; 0;   0;   2;   26984;   28B82;   268BC;	
   26984;1964;8000;     401;  AE;FFFF99B4; 1; 0; 0; 0; 2; 0;   0;   2;   26A26;   2A28A;   268BC;	
   26984;1964;8000;     401;  AE;FFFF99B4; 1; 0; 0; 2; 2; 0;   0;   2;   26984;   2A28A;   268BC;	
   26984;1964;8000;     401;  AE;FFFF99B4; 1; 3; 2; C; 0; 0;   0;   2;   26A26;   2A28A;   268BC;	
   26984;1964;8000;     401;  AE;FFFF99B4; 1; 3; 2; C; 2; 0;   0;   2;   26984;   2A28A;   268BC;	
   2698E;1968;8000;     401;  AE;FFFF9234; 1; 0; 0; 2; 2; 0;   0;   2;   26984;       0;   268BC;	
   2698E;1968;8000;     401;  AE;FFFF9234; 1; 1; 2; C; 2; 0;   0;   2;   26984;       0;   268BC;	
   2698E;1968;8000;     401;  AE;FFFF92F4; 1; 0; 0; 2; 2; 0;   0;   2;   26984;       0;   268BC;	
   2698E;1968;8000;     401;  AE;FFFF92F4; 1; 0; 2; C; 2; 0;   0;   2;   26984;       0;   268BC;	
   2698E;1968;8000;     401;  AE;FFFF92F4; 1; 0; 2;10; 0; 0;   0;   2;   26984;       0;   268BC;	
   2698E;1968;8000;     401;  AE;FFFF92F4; 2; 0; 2;10; 0; 0;   0;   2;   26984;       0;   268BC;	
   2698E;1968;8000;     401;  AE;FFFF9474; 1; 0; 0; 2; 2; 0;   0;   2;   26984;       0;   268BC;	
   2698E;1968;8000;     401;  AE;FFFF95F4; 1; 0; 0; 2; 2; 0;   0;   2;   26984;       0;   268BC;	
   2698E;1968;8000;     401;  AE;FFFF9774; 1; 0; 0; 2; 2; 0;   0;   2;   26984;   2A216;   268BC;	
   2698E;1968;8000;     401;  AE;FFFF9774; 1; 0; 2; C; 2; 0;   0;   2;   26984;   2A216;   268BC;	
   2698E;1968;8000;     401;  AE;FFFF98F4; 1; 0; 0; 2; 2; 0;   0;   2;   26984;   28B82;   268BC;	
   2698E;1968;8000;     401;  AE;FFFF98F4; 1; 0; 2; C; 2; 0;   0;   2;   26984;   28B82;   268BC;	
   2698E;1968;8000;     401;  AE;FFFF99B4; 1; 0; 0; 2; 2; 0;   0;   2;   26984;   2A28A;   268BC;	
   2698E;1968;8000;     401;  AE;FFFF99B4; 1; 3; 2; C; 2; 0;   0;   2;   26984;   2A28A;   268BC;	
   26998;196C;8000;     401;  AE;FFFF9234; 1; 0; 0; 2; 2; 0;   0;   2;   2698E;       0;   268BC;	
   26998;196C;8000;     401;  AE;FFFF9234; 1; 1; 2; C; 2; 0;   0;   2;   2698E;       0;   268BC;	
   26998;196C;8000;     401;  AE;FFFF92F4; 1; 0; 0; 2; 2; 0;   0;   2;   2698E;       0;   268BC;	
   26998;196C;8000;     401;  AE;FFFF92F4; 1; 0; 2; C; 2; 0;   0;   2;   2698E;       0;   268BC;	
   26998;196C;8000;     401;  AE;FFFF92F4; 2; 0; 2;10; 0; 0;   0;   2;   2698E;       0;   268BC;	
   26998;196C;8000;     401;  AE;FFFF9474; 1; 0; 0; 2; 2; 0;   0;   2;   2698E;       0;   268BC;	
   26998;196C;8000;     401;  AE;FFFF95F4; 1; 0; 0; 2; 2; 0;   0;   2;   2698E;       0;   268BC;	
   26998;196C;8000;     401;  AE;FFFF9774; 1; 0; 0; 2; 2; 0;   0;   2;   2698E;   2A216;   268BC;	
   26998;196C;8000;     401;  AE;FFFF9774; 1; 0; 2; C; 2; 0;   0;   2;   2698E;   2A216;   268BC;	
   26998;196C;8000;     401;  AE;FFFF98F4; 1; 0; 0; 2; 2; 0;   0;   2;   2698E;   28B82;   268BC;	
   26998;196C;8000;     401;  AE;FFFF98F4; 1; 0; 2; C; 2; 0;   0;   2;   2698E;   28B82;   268BC;	
   26998;196C;8000;     401;  AE;FFFF99B4; 1; 0; 0; 2; 2; 0;   0;   2;   2698E;   2A28A;   268BC;	
   26998;196C;8000;     401;  AE;FFFF99B4; 1; 3; 2; C; 2; 0;   0;   2;   2698E;   2A28A;   268BC;	
   269A2;1970;8000;     401;  AE;FFFF9234; 1; 0; 0; 2; 2; 0;   0;   2;   26998;       0;   268BC;	
   269A2;1970;8000;     401;  AE;FFFF9234; 1; 1; 2; C; 2; 0;   0;   2;   26998;       0;   268BC;	
   269A2;1970;8000;     401;  AE;FFFF92F4; 1; 0; 0; 2; 2; 0;   0;   2;   26998;       0;   268BC;	
   269A2;1970;8000;     401;  AE;FFFF92F4; 1; 0; 2; C; 2; 0;   0;   2;   26998;       0;   268BC;	
   269A2;1970;8000;     401;  AE;FFFF92F4; 2; 0; 2;10; 0; 0;   0;   2;   26998;       0;   268BC;	
   269A2;1970;8000;     401;  AE;FFFF9474; 1; 0; 0; 2; 2; 0;   0;   2;   26998;       0;   268BC;	
   269A2;1970;8000;     401;  AE;FFFF95F4; 1; 0; 0; 2; 2; 0;   0;   2;   26998;       0;   268BC;	
   269A2;1970;8000;     401;  AE;FFFF9774; 1; 0; 0; 2; 2; 0;   0;   2;   26998;   2A216;   268BC;	
   269A2;1970;8000;     401;  AE;FFFF9774; 1; 0; 2; C; 2; 0;   0;   2;   26998;   2A216;   268BC;	
   269A2;1970;8000;     401;  AE;FFFF98F4; 1; 0; 0; 2; 2; 0;   0;   2;   26998;   28B82;   268BC;	
   269A2;1970;8000;     401;  AE;FFFF98F4; 1; 0; 2; C; 2; 0;   0;   2;   26998;   28B82;   268BC;	
   269A2;1970;8000;     401;  AE;FFFF99B4; 1; 0; 0; 2; 2; 0;   0;   2;   26998;   2A28A;   268BC;	
   269A2;1970;8000;     401;  AE;FFFF99B4; 1; 3; 2; C; 2; 0;   0;   2;   26998;   2A28A;   268BC;	
   269AC;1974;8000;     401;  AE;FFFF9234; 1; 0; 0; 2; 2; 0;   0;   2;   269A2;       0;   268BC;	
   269AC;1974;8000;     401;  AE;FFFF9234; 1; 1; 2; C; 2; 0;   0;   2;   269A2;       0;   268BC;	
   269AC;1974;8000;     401;  AE;FFFF92F4; 1; 0; 0; 2; 2; 0;   0;   2;   269A2;       0;   268BC;	
   269AC;1974;8000;     401;  AE;FFFF92F4; 1; 0; 2; C; 2; 0;   0;   2;   269A2;       0;   268BC;	
   269AC;1974;8000;     401;  AE;FFFF92F4; 2; 0; 2;10; 0; 0;   0;   2;   269A2;       0;   268BC;	
   269AC;1974;8000;     401;  AE;FFFF9474; 1; 0; 0; 2; 2; 0;   0;   2;   269A2;       0;   268BC;	
   269AC;1974;8000;     401;  AE;FFFF95F4; 1; 0; 0; 2; 2; 0;   0;   2;   269A2;       0;   268BC;	
   269AC;1974;8000;     401;  AE;FFFF9774; 1; 0; 0; 2; 2; 0;   0;   2;   269A2;   2A216;   268BC;	
   269AC;1974;8000;     401;  AE;FFFF9774; 1; 0; 2; C; 2; 0;   0;   2;   269A2;   2A216;   268BC;	
   269AC;1974;8000;     401;  AE;FFFF98F4; 1; 0; 0; 2; 2; 0;   0;   2;   269A2;   28B82;   268BC;	
   269AC;1974;8000;     401;  AE;FFFF98F4; 1; 0; 2; C; 2; 0;   0;   2;   269A2;   28B82;   268BC;	
   269AC;1974;8000;     401;  AE;FFFF99B4; 1; 0; 0; 2; 2; 0;   0;   2;   269A2;   2A28A;   268BC;	
   269AC;1974;8000;     401;  AE;FFFF99B4; 1; 3; 2; C; 2; 0;   0;   2;   269A2;   2A28A;   268BC;	
   269B6;1978;8000;     401;  AE;FFFF9234; 1; 0; 0; 2; 2; 0;   0;   2;   269AC;       0;   268BC;	
